License Year, 12/1, 12/2, 12/3, 12/4, 12/5, 12/6, 12/7, 12/8, 12/9, 12/10, 12/11, 12/12, 12/13, 12/14, 12/15, 12/16, 12/17, 12/18, 12/19, 12/20, 12/21, 12/22, 12/23, 12/24, 12/25, 12/26, 12/27, 12/28, 12/29, 12/30, 12/31
2024, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2023, 1, 1, 4, 0, 0, 0, 1, 0, 0, 5, 1, 1, 1, 2, 18, 12, 21, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 3, 0, 7, 5
2022, 1, 0, 1, 5, 1, 0, 1, 0, 1, 2, 5, 1, 1, 1, 0, 17, 15, 20, 5, 7, 1, 2, 0, 0, 0, 3, 2, 2, 0, 2, 3
2021, 2, 0, 2, 1, 0, 1, 2, 0, 1, 2, 0, 5, 1, 1, 1, 1, 6, 5, 12, 1, 0, 0, 1, 1, 2, 1, 0, 2, 0, 1, 0
2020, 3, 1, 3, 1, 2, 0, 1, 0, 0, 1, 2, 2, 1, 1, 4, 2, 1, 4, 15, 11, 2, 1, 0, 1, 1, 5, 4, 0, 1, 1, 0
2019, 0, 0, 2, 0, 0, 1, 1, 4, 0, 0, 0, 0, 0, 4, 2, 0, 0, 1, 1, 6, 9, 8, 1, 1, 0, 0, 0, 1, 2, 0, 0
2018, 1, 2, 0, 0, 0, 2, 0, 4, 9, 2, 4, 1, 1, 8, 10, 18, 3, 0, 2, 2, 0, 0, 1, 1, 1, 0, 1, 0, 6, 4, 3
2017, 2, 2, 1, 0, 0, 0, 0, 2, 4, 3, 0, 0, 2, 2, 6, 12, 23, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 2, 0, 5, 7
2016, 2, 1, 3, 2, 1, 1, 0, 2, 0, 5, 8, 4, 2, 1, 3, 24, 27, 23, 2, 0, 3, 1, 1, 1, 0, 3, 4, 2, 2, 4, 12
2015, 1, 0, 2, 3, 2, 5, 3, 2, 2, 1, 1, 2, 2, 4, 3, 4, 6, 17, 50, 45, 12, 2, 1, 3, 1, 16, 13, 2, 2, 1, 4
