License Year, 11/1, 11/2, 11/3, 11/4, 11/5, 11/6, 11/7, 11/8, 11/9, 11/10, 11/11, 11/12, 11/13, 11/14, 11/15, 11/16, 11/17, 11/18, 11/19, 11/20, 11/21, 11/22, 11/23, 11/24, 11/25, 11/26, 11/27, 11/28, 11/29, 11/30
2024, 3, 7, 4, 3, 0, 2, 4, 3, 79, 44, 28, 27, 29, 20, 44, 50, 41, 17, 11, 12, 23, 18, 35, 33, 4, 3, 7, 1, 5, 4
2023, 0, 5, 3, 8, 4, 4, 3, 1, 5, 7, 93, 65, 36, 28, 18, 18, 13, 30, 25, 7, 11, 15, 8, 15, 21, 16, 3, 2, 3, 0
2022, 2, 3, 4, 0, 3, 4, 1, 2, 1, 2, 0, 62, 67, 41, 19, 20, 9, 26, 40, 30, 9, 11, 13, 15, 13, 25, 11, 0, 0, 2
2021, 3, 4, 4, 3, 5, 10, 2, 1, 4, 3, 1, 2, 83, 48, 25, 22, 12, 9, 23, 26, 31, 6, 8, 11, 9, 12, 13, 13, 1, 0
2020, 2, 4, 2, 4, 2, 4, 2, 4, 0, 1, 0, 3, 4, 71, 31, 27, 27, 23, 21, 27, 31, 21, 10, 8, 8, 10, 6, 15, 14, 1
2019, 5, 9, 5, 2, 5, 1, 0, 3, 61, 45, 18, 16, 14, 12, 14, 30, 23, 11, 5, 5, 4, 2, 11, 19, 0, 1, 0, 0, 1, 0
2018, 0, 1, 3, 4, 2, 0, 0, 5, 0, 48, 55, 25, 22, 20, 10, 15, 38, 30, 8, 9, 13, 12, 18, 9, 19, 1, 0, 1, 1, 1
2017, 0, 0, 2, 3, 1, 0, 1, 2, 0, 3, 53, 30, 19, 16, 12, 17, 15, 15, 17, 16, 1, 1, 1, 0, 1, 1, 0, 2, 0, 0
2016, 1, 1, 1, 3, 9, 7, 7, 6, 2, 3, 7, 112, 75, 41, 21, 23, 25, 28, 38, 39, 25, 3, 1, 3, 4, 2, 2, 3, 2, 2
2015, 5, 3, 1, 2, 4, 1, 5, 7, 7, 7, 3, 4, 3, 147, 56, 37, 32, 13, 31, 27, 52, 40, 33, 6, 1, 2, 3, 8, 0, 2
